document_id,date_start,date_end,author.name,author.user_id,latitude,longitude,skitouring,rock_climbing,mountain_climbing,ice_climbing,hiking,snow_ice_mixed
1026301,2018-08-04,2018-08-04,jm74,8025,750260.0463124206,5774160.495286765,False,False,False,False,True,False
1026047,2018-08-04,2018-08-04,lustou,773441,30549.788885532533,5274522.848770638,False,False,False,False,True,False
1026002,2018-08-04,2018-08-04,Sophie,919609,695437.6646787787,5595918.4173498545,False,False,False,False,True,False
1045058,2018-08-03,2018-08-03,Laetitia L,1011674,705982.3477844262,5621163.848641806,False,False,False,False,True,True
1027374,2018-08-03,2018-08-03,DarkLio,451370,712449.3331340227,5576423.784171142,False,False,False,False,True,False
1027123,2018-08-03,2018-08-03,Mountain Climber,11409,746933.0777975782,5774088.517730466,False,False,False,False,True,False
1026599,2018-08-03,2018-08-03,Secanto,476131,50001.04172114359,5271512.224434684,False,False,False,False,True,False
1025959,2018-08-03,2018-08-03,Artero,1025955,984883.721384267,5203579.216039341,False,False,False,False,True,False
1025708,2018-08-03,2018-08-03,janic,578085,12438.663558106487,5270635.7831577035,False,False,False,False,True,False
1025670,2018-08-03,2018-08-03,nico111,174431,763495.9337677393,5797029.551780832,False,False,True,False,True,False
1029467,2018-08-02,2018-08-02,Guillaume Blanc,13007,778701.5417441941,5572962.655893618,False,False,False,False,True,False
1026813,2018-08-02,2018-08-02,guill@ume,659836,749251.3908473112,5837098.984066619,False,True,False,False,True,False
1025808,2018-08-02,2018-08-02,Jérôme Dauvergne,11639,752684.6429458087,5683616.198344101,False,False,False,False,True,False
1025525,2018-08-02,2018-08-02,Patrick Prele,10284,764759.2816368124,5673019.5900116535,False,False,False,False,True,False
1025494,2018-08-02,2018-08-02,Guillaume CLAUS,12034,710372.0996577456,5694915.644330206,False,False,False,False,True,True
1025319,2018-08-02,2018-08-02,Anne-sophie Martin,12970,774571.2026730062,5704554.569470379,False,False,False,False,True,False
1025302,2018-08-02,2018-08-02,janic,578085,17490.91099750754,5303932.887826677,False,False,False,False,True,False
1025301,2018-08-02,2018-08-02,Maria Goran,10280,694220.6108326205,5720515.724782836,False,False,False,False,True,False
1025268,2018-08-02,2018-08-02,randorama74,454528,757330.5965363975,5787253.3522510715,False,False,True,False,True,False
1090335,2018-08-01,2018-08-01,vincent,909138,755730.9568842002,5753888.356473641,False,False,False,False,True,False
1028810,2018-08-01,2018-08-01,tartopum73,315295,762517.4374148188,5695582.526575204,False,False,False,False,True,False
1028389,2018-08-01,2018-08-01,Carpe Diem,136048,780670.5717178601,5670004.726217531,False,False,False,False,True,False
1025613,2018-08-01,2018-08-01,Jérôme Dauvergne,11639,744401.0046599943,5676838.809606829,False,False,False,False,True,False
1025006,2018-08-01,2018-08-01,Mathieu des Noes,7516,615590.3166962874,5616473.021241424,False,False,False,False,True,False
1024990,2018-08-01,2018-08-01,vmartinel,604049,-16057.837523590173,5277522.857145884,False,False,True,False,True,False
1024903,2018-08-01,2018-08-01,nico111,174431,734827.417132282,5812038.517922746,False,False,False,False,True,False
1024779,2018-08-01,2018-08-01,Michel Duquennoy,9055,733998.4208843443,5812272.747290829,False,False,False,False,True,False
1024682,2018-07-31,2018-07-31,Frederic Djillali,6265,782263.5464660568,5687232.235392942,False,False,True,False,True,False
1024603,2018-07-31,2018-07-31,janic,578085,-7612.210084509287,5267750.357210128,False,False,False,False,True,False
1042455,2018-07-30,2018-07-30,Andrey,8002,686620.289005273,5715042.440400607,False,False,False,False,True,False
1042434,2018-07-15,2018-07-30,TRAVERSEE-HRP,1035409,207842.16822297504,5247257.48510086,False,False,False,False,True,False
1027373,2018-07-29,2018-07-30,Clément,913139,680638.2534711778,5667969.173148641,False,False,True,False,True,False
1027256,2018-07-30,2018-07-30,dede2b,647965,1018651.0139331543,5172551.253572265,False,False,False,False,True,False
1024977,2018-07-29,2018-07-30,Cellophile,507447,660434.2585538942,5648956.8939697975,False,False,False,False,True,False
1024831,2018-07-30,2018-07-30,LéOô,528328,158350.4065546184,5257187.218356354,False,False,True,False,True,False
